Calling: download_display_sitemap [2021-05-15 00:34:50.163368  2021-05-15 00:35:03.488879] Args: (2, 'https://www.haaretz.com/robots.txt', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-27 18:17:55.451553  2021-05-27 18:17:58.305694] Args: (1, 'https://www.housebeautiful.com/sitemap_index.xml/', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-28 19:47:14.102517  2021-05-28 19:47:18.183817] Args: (1, 'https://www.ntv.com.tr/video-sitemap/922', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-29 20:23:42.293344  2021-05-29 20:23:48.113074] Args: (1, 'https://www.ntv.com.tr/video-sitemap/922', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-31 07:40:19.894844  2021-05-31 07:40:20.228319] Args: (1, 'https://www.housebeautiful.com/sitemap_index.xml/', []) Kwargs: {}
Calling: download_display_sitemap [2021-05-31 07:40:25.047498  2021-05-31 07:40:28.635435] Args: (2, 'https://www.housebeautiful.com/sitemap_index.xml/', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-05-31 18:43:16.640123  2021-05-31 18:43:36.623546] Args: (1, 'https://www.al-binaa.com/robots.txt', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-01 10:44:10.514983  2021-06-01 10:44:13.108304] Args: (1, 'https://www.nytimes.com/sitemaps/new/news.xml.gz', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-01 11:10:40.265519  2021-06-01 11:10:41.306956] Args: (1, 'https://www.arbetsbyxor.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-01 11:16:10.997225  2021-06-01 11:16:11.915020] Args: (1, 'https://www.arbetsbyxor.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-01 11:34:59.483264  2021-06-01 11:35:07.342528] Args: (4, 'https://www.google.co.uk/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-01 13:06:52.796679  2021-06-01 13:06:53.650492] Args: (1, 'https://nabd.com/sitemap.xml', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-01 13:07:49.444184  2021-06-01 13:07:51.140320] Args: (2, 'https://nabd.com/sitemaps/sitemap_06_22.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-01 14:32:27.843389  2021-06-01 14:32:28.125806] Args: (1, 'https://www.evemilano.com/wp-sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-02 08:19:37.365369  2021-06-02 08:19:39.030444] Args: (1, 'https://www.federweg.com/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-02 09:51:51.943872  2021-06-02 09:51:52.170658] Args: (1, 'https://www.housebeautiful.com/sitemap_index.xml/', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-02 09:52:41.630932  2021-06-02 09:52:41.773836] Args: (2, 'https://www.housebeautiful.com/en/sitemaps/author.2016-01-23T03:29:52.xml.gz', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-02 09:53:58.243620  2021-06-02 09:54:01.305322] Args: (3, 'https://www.housebeautiful.com/sitemap_index.xml/', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-02 10:17:29.216591  2021-06-02 10:17:32.518178] Args: (1, 'https://storyly.io/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-02 13:34:36.586225  2021-06-02 13:34:55.365482] Args: (1, 'https://alojarse.net/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-02 18:19:06.952133  2021-06-02 18:19:07.597511] Args: (1, 'https://www.gazzetta.gr/news.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 07:10:04.948482  2021-06-04 07:10:12.147962] Args: (1, 'https://www.housebeautiful.com/sitemap_index.xml/', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 07:36:49.197915  2021-06-04 07:36:49.778999] Args: (1, 'https://www.visitgreece.gr/sitemaps/el/Pages/Index/', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 08:27:39.130321  2021-06-04 08:27:39.414152] Args: (1, 'https://www.housebeautiful.com/sitemap_index.xml/', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 08:28:35.511181  2021-06-04 08:28:40.830176] Args: (2, 'https://www.housebeautiful.com/sitemap_index.xml/', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 09:47:40.869159  2021-06-04 09:47:41.837677] Args: (1, 'http://macnificos.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 10:17:56.573908  2021-06-04 10:17:56.831132] Args: (1, 'https://www.vrodosandreas.gr/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 10:43:58.747442  2021-06-04 10:43:59.069268] Args: (1, 'https://www.bizappln.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 11:02:15.599752  2021-06-04 11:02:15.835311] Args: (1, 'https://www.bizappln.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 11:15:17.562663  2021-06-04 11:15:17.708540] Args: (4, 'https://tiklacars.com/sitemap.xml', [True]) Kwargs: {}
